,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FAM131B,106.59347798139785,-0.7290604761006794,0.29938850939064166,-2.4351651891536106,0.014884992667905154,0.1589947199651603
FAM131C,6.125405451937514,0.3426417836849805,0.6157064348633144,0.5565018721317184,0.5778678149784935,0.8898656481163633
FAM132A,9.39156642332096,-0.5793369628445202,0.5203130693174866,-1.1134391907634713,0.26551985113809395,0.7003990006255448
FAM133B,121.74077899469461,0.03886866810151574,0.24365096991466154,0.159526014261833,0.8732544643336991,0.9753257863851905
FAM134A,975.2482075276247,0.14141325100069413,0.22794293626065873,0.6203888276624829,0.5350018261383072,0.8709118848407249
FAM134C,773.9462587211335,-0.09227461820047819,0.14614771869201473,-0.6313791212501486,0.5277926643085376,0.8662426687754473
FAM135A,78.86028933529607,0.07946463108947341,0.2409729487070156,0.3297657746060519,0.7415769499816587,0.9395853431258144
FAM136A,315.10964794349013,0.11220821213058105,0.1669555047153153,0.6720845312762416,0.5015298836014322,0.8530669589305936
FAM13A,9.092749503122509,-0.6694781596463266,0.5887173933625167,-1.13718087353006,0.2554626808928545,0.6910524300929379
FAM13B,201.45877693617064,-0.16415190591556203,0.3193949133162825,-0.5139465253568698,0.607289378000318,0.897787506716452
FAM149A,17.266408611455386,-0.9040587459654423,0.4041687512170077,-2.236834844958194,0.025297136232222368,0.21983691003842304
FAM149B1,198.844586969416,-0.334382582844149,0.2272502350799774,-1.4714289854374318,0.14117513944418353,0.5423845122702747
FAM151B,17.80137828983859,-0.8862827308281777,0.5035143771091473,-1.7601934942089197,0.0783750046908919,0.4088321011200654
FAM155A,90.77290015237148,0.42270972754969444,0.22593140507485954,1.8709648948964615,0.06134994699530619,0.3611346927197683
FAM156A,8.37116718593439,0.7862689161287039,0.5809960002006597,1.3533120982883682,0.17595594578247076,0.5942102473153823
FAM156B,296.14769004918423,-0.18278014292818848,0.1601954764348663,-1.1409819240589159,0.253877445207909,0.6896809215229053
EMC9,135.43644281196435,0.1654677148995515,0.28936595609949445,0.571828549322014,0.5674381338120947,0.8846485926361484
FAM160A2,67.00156483763998,-0.11875454218471192,0.26218837623736924,-0.45293595348864296,0.6505948606674656,0.9152524772369813
FAM160B1,272.234282147853,-0.026555329467977538,0.19221914433422346,-0.13815132493673016,0.8901208231943234,0.9766775058805861
FAM160B2,361.98665389718815,0.02674612982069322,0.15031143264139443,0.17793809393396448,0.8587715935698705,0.9735169899927001
FAM161B,51.677057214319156,-0.1984238719813957,0.31292138857948343,-0.6341013405384245,0.5260146879777304,0.8656078784970745
FAM162A,207.4301421053597,-0.07324685066738297,0.20460174026692451,-0.3579972026231289,0.7203454069897532,0.9336504785522851
ZC2HC1A,62.000272188013255,-0.5504664748204909,0.42188728195279046,-1.3047714362768787,0.1919706881685801,0.6172824918785041
FAM165B,127.44929804578324,0.05202326635589072,0.20191056913197392,0.25765499339406533,0.7966731835796337,0.9536337740235367
FAM167A,468.8884015951959,0.15123982398275918,0.2113259211362924,0.7156709558843881,0.47419454882178735,0.8421402833649667
FAM167B,13.256778192429596,-1.2048155972760703,0.47436801215968716,-2.5398331388131026,0.011090536698736515,0.13002651419665154
FAM168A,334.1492852247116,0.012890804016393127,0.23866690842837687,0.054011693959917416,0.9569258474099444,0.9906016138000654
FAM168B,1271.7850129038775,0.008332216201974035,0.17569990856755494,0.047422996801221314,0.9621761008402933,0.9929551465057239
FAM171A1,734.4429834431127,0.2912911209018034,0.24263141962797405,1.2005498766336162,0.22992585414817934,0.6613670994795507
FAM171A2,92.10047775610877,0.03560035522204444,0.2661502095632066,0.13376038771665852,0.8935920516582381,0.9774225396095498
FAM171B,140.89265154563964,0.16453416712760907,0.20109801652875609,0.8181789655000473,0.41325500415527516,0.8065737102681573
FAM172A,354.6713734758044,-0.13265158619931255,0.16247874302506263,-0.8164242517487399,0.41425753072566474,0.8072703403526434
FAM173A,107.83637022147693,-0.07978307430496184,0.2534640616090549,-0.31477075605306104,0.752935717152148,0.9415668841564998
FAM173B,74.90592099961489,-0.13914983939972536,0.26012672886316535,-0.5349309546460427,0.5926976024689488,0.8946286889487032
FAM174A,72.49059317761895,-0.05901287935548312,0.2826976604013765,-0.20874909000554207,0.8346441159561134,0.9658545561078736
FAM174B,10.960788464359368,-0.009752198911686388,0.4997614088684209,-0.019513709419396133,0.9844313005906989,0.9974338998603361
FAM175A,101.79516977564653,-0.45489031346442305,0.23334120662865998,-1.949464134675266,0.05124002189468429,0.32878328803963985
FAM175B,259.675849739917,0.15441908766497733,0.2000345953684822,0.7719619067917883,0.4401369895047377,0.8231236395246402
FAM176A,491.371002618092,0.4500386489800924,0.17084609899663025,2.634175738416883,0.008434182144965295,0.10764611549943398
FAM177A1,288.26950959537635,0.20715932997514788,0.3278376858305155,0.6318960233334628,0.5274548220513305,0.8661060162244505
FAM178A,224.6836997420902,0.13757866162236473,0.1645348055966133,0.8361675277367366,0.4030606635436965,0.8025772131690638
FAM179B,73.26948465800993,-0.12801524066169323,0.25049086387871594,-0.511057523932994,0.6093107776000581,0.8986422242720916
FAM180A,1651.4163015178856,0.7151001525419307,0.1857999641782273,3.8487636728281385,0.00011871546859358234,0.004080926218725245
FAM185A,16.37092301467206,-0.3043515235960906,0.5239932463266885,-0.5808310044636334,0.561354356813757,0.883541499724321
FAM186B,6.860311113274751,0.4444060045814173,0.656836525203008,0.6765854021958738,0.49866904362670417,0.8527466784238981
FAM188A,482.86557686680476,-0.055040115112697685,0.19412141453795181,-0.28353448404290826,0.7767671512757058,0.947655924556361
FAM188B,41.84224634259979,-0.5506206282085377,0.27132664771116694,-2.029364357881594,0.04242119260966536,0.2994057475582949
FAM189B,7.049905969953147,-0.5978796338554379,0.5882950895724222,-1.0162920691552633,0.3094903241326864,0.7395114977269428
FAM18B1,385.2707928736653,-0.02003156884170197,0.3038224915116341,-0.06593181677247524,0.9474321095634353,0.9895355767514187
FAM18B2,77.18176744785549,-0.2801015748766817,0.24084041078405818,-1.1630173439947575,0.24482246557411658,0.6801874050107434
FAM190B,497.6146101288486,0.31503642551752475,0.2554238587001706,1.2333868383349826,0.21743147311137734,0.6473247157822801
FAM192A,227.10983979582096,-0.13014520113731817,0.23367308386983934,-0.5569541813802213,0.5775587344918427,0.8898656481163633
FAM193A,115.39202304957405,-0.0660961559659445,0.3251569191888619,-0.20327464084365265,0.8389203754104981,0.9663542674820179
FAM193B,567.6528380088741,-0.22842002707972955,0.1774173540148232,-1.2874728537584046,0.1979295254805994,0.6230799431015884
FAM195A,60.90836691709696,-0.2022689692142411,0.2595410666998924,-0.7793331968082141,0.4357834642940456,0.8202320552254913
FAM195B,668.0804156324589,-0.07246172048414173,0.2271343459854362,-0.31902581782496237,0.749706935120972,0.9405338799373378
FAM196B,299.6534333566814,1.0659787700192018,0.16411254235726455,6.4954131762740035,8.28058325886094e-11,1.746501323275687e-08
FAM198B,231.42894140238735,-1.1158160972669926,0.2610841441809328,-4.273779630576592,1.9218698965944048e-05,0.0009299104428062683
FAM199X,119.18474141653508,0.5184477399516633,0.24752072195613772,2.0945629757961663,0.0362098593618567,0.2739182309416078
FAM19A5,466.3063568218241,0.2848866148121419,0.3528950324107601,0.8072842875287111,0.4195027143676814,0.8103496630831157
FAM200A,43.8378357636161,0.059515437107893435,0.28260392701271353,0.21059663868441578,0.8332020354333044,0.9656491916204148
FAM200B,311.7598507748919,-0.2745191147559881,0.24110823734282222,-1.1385721109381273,0.25488166618742525,0.690711553579338
FAM203A,204.15064925094515,0.166388104402078,0.21425712673467118,0.7765814231613748,0.43740576511419993,0.8210267440053797
FAM204A,471.2995703554086,0.07236716571866852,0.18592912810948206,0.38921908823267337,0.697114084209438,0.9280641825243303
FAM206A,66.07804536061153,-0.17575271830414194,0.30755356293640784,-0.5714540147937807,0.5676919234591418,0.8846485926361484
FAM207A,375.13951810399635,0.43833079343454334,0.237951558769114,1.842100954084771,0.06546038428519894,0.3721494337685516
FAM208A,446.8861653770583,-0.14217150154688038,0.1745507407135073,-0.8144995602180146,0.41535882405898805,0.8074282546545528
FAM208B,300.8853874607352,0.3396701249241005,0.27840915600882826,1.2200393471015358,0.22244995930590217,0.6527157023349791
FAM20A,94.94990091649785,-2.3965309956205436,0.36155174062604234,-6.6284592945697005,3.392086319600508e-11,7.674749483837948e-09
FAM20B,705.6436138836768,0.1148207107799945,0.15557723652304817,0.7380302758044186,0.4604960514544627,0.8338762147996037
FAM20C,231.23935309713272,0.19919467222532927,0.35647213244696246,0.5587945146173982,0.5763019665266327,0.8893516128485479
FAM210A,106.65807139883813,-0.04150431603800981,0.24086166852173535,-0.17231598656913089,0.8631891168721886,0.9742880154519288
FAM210B,319.90989502764114,-0.31144125055459665,0.15442047330448083,-2.016839113946425,0.043712305652875746,0.30354683679932243
FAM211A,5.340194108731526,-0.20121444934966298,0.7198905926612944,-0.2795069853681691,0.7798557780114553,0.949030639492653
FAM211B,15.177360942669043,-0.9314069289272633,0.5291640658801404,-1.7601477291888405,0.07838276194486386,0.4088321011200654
FAM212A,9.338368782559925,1.1200646976888085,0.5361086926278774,2.0892492755499217,0.036685289865159953,0.27617165582701175
FAM212B,153.96717160966148,-0.9597977760012604,0.21630983897607883,-4.437143407551619,9.116056363330395e-06,0.0005064294883271582
C10orf57,149.50676292319878,-0.41394934640153663,0.20946546780659128,-1.976217611123158,0.04813013611504772,0.3189198156632874
FAM213B,517.7030149037203,0.4330687330655482,0.22973425764389874,1.8850855658489976,0.0594182864731895,0.3551398447994093
FAM214A,160.35873123873822,-0.1726088879042289,0.25752925641539365,-0.6702496264184115,0.5026986730782037,0.85400440788876
FAM214B,288.13781252565377,0.3174633650461883,0.17719304951658854,1.7916242533907507,0.07319317540017091,0.39480532062406887
FAM21A,309.19397885652506,-0.10938665231043936,0.20118709622488226,-0.5437061042332929,0.5866437311780037,0.8924137344106909
FAM21B,337.39067764517193,-0.08495864130332026,0.2020543674699865,-0.42047416429115375,0.6741390991662048,0.9214288923452201
FAM21C,76.61588691433495,-0.4652414333832672,0.21915853131406668,-2.122853400201654,0.03376613842001137,0.26131736885376006
FAM22A,4.239161565034091,-0.37006985395083275,0.7866180372262258,-0.4704568627179893,0.6380286467517495,0.9103738330313137
FAM24B,33.68724929603043,0.10580115115588151,0.38639354168173484,0.2738170795903932,0.7842251974569264,0.9503131155306006
FAM26E,292.4006607270695,-0.07854094653798276,0.18747938460800018,-0.4189311091574344,0.6752664807013165,0.9215155773741058
FAM27A,11.080612589647403,0.5404003672299579,0.5244655829415877,1.0303828979568044,0.3028302981790898,0.7355885673512773
FAM32A,757.5144243775751,0.1468027461016979,0.13913790223410846,1.0550881085923867,0.291385030054369,0.7259249877871007
FAM35A,63.731699818781706,-0.04926914615368699,0.2332409559126517,-0.211237112971438,0.8327022521144833,0.9656491916204148
COX20,562.2072199891162,-0.12431384647009194,0.23997896892188347,-0.5180197541000264,0.6044444867903866,0.897787506716452
FAM3A,141.83702871549474,-0.20459991740436542,0.24765360722074733,-0.8261535929173615,0.40871696950402603,0.8057292981516013
FAM3C,1340.1135748577758,0.10310310324582869,0.2001564445563007,0.5151125834313444,0.6064743500180035,0.897787506716452
FAM40A,549.3004151877607,-0.26825792857226,0.15673173628374826,-1.711573768867104,0.08697524579228348,0.42864156777789136
FAM40B,40.01646674609238,0.10805661690864675,0.3286365803678384,0.32880276683654774,0.7423047716282376,0.9395853431258144
FAM43A,579.8630268944557,-0.6868021534003499,0.13907868754635208,-4.93822716849735,7.883597562235738e-07,6.411992683951733e-05
FAM45A,453.62093697461387,-0.23810438358881392,0.24377735953882582,-0.9767288645641911,0.32870340120103747,0.7570467224858954
FAM46A,862.7298577958319,0.20649431790542264,0.17798696317667673,1.1601654088588973,0.24598146754138672,0.6823435983247919
FAM46B,13.382077641359432,-0.0155148321713515,0.4294088563990212,-0.03613067578870473,0.9711781625479197,0.9945381530990107
FAM46C,10.165400898309645,-0.2923782082504219,0.5093100384461996,-0.5740672403442268,0.5659223007073194,0.8840608636586904
FAM48A,91.15433775501721,-0.3485504857903286,0.298694289571207,-1.1669137909890848,0.24324518596397282,0.6788064294902829
FAM49B,76.11952610844499,0.1264202570738248,0.3066127376893639,0.41231247607822447,0.6801104053272138,0.9224518674938048
FAM50A,291.2664022027875,0.15097427968941804,0.23677479612919877,0.637628168865732,0.5237157544732085,0.8638810775006107
FAM50B,35.43454648894528,-0.19089358440207127,0.381048185062664,-0.5009696723018862,0.616392467057793,0.9007387981820927
FAM53A,22.372759179327584,-0.24158138144091798,0.3917956093921631,-0.6166005326494356,0.5374982431203954,0.8709397276585578
FAM53B,48.92542864111262,-0.1373898096418315,0.29526797819154,-0.4653054844731822,0.6417127077896428,0.9112178264152148
FAM53C,516.0992543341479,-0.05797233926710465,0.13905852783687972,-0.41689165108311904,0.6767576605721446,0.9218742192097129
FAM54B,532.0407778784519,-0.012461018809813245,0.17084873833455871,-0.0729359720843351,0.9418570685767689,0.9874351176540686
NXPE3,296.06521018390515,0.1749150372115053,0.17592405249352513,0.9942644836353065,0.32009412182449326,0.7490483415845719
FAM57A,162.11658696486836,0.2731016962666891,0.18768345771680495,1.455118632132042,0.14563642182892156,0.5493068409373684
